fid,LINK_ID,s_link
1,1220041900,1210007900
2,1220041800,1210007800
3,1220007300,1220007300
4,1220042300,1210007900
5,1220042200,1210007800
6,1220006901,1220006900
7,1220006801,1220006800
8,1220006902,1220006900
9,1220006802,1220006800
10,1220007101,1220007100
11,1220007001,1220007000
12,1220006302,1220006300
13,1220006200,1220006200
14,1220006501,1220006500
15,1220006401,1220006400
16,1220006903,1220006900
17,1220006803,1220006800
18,1220007200,1220007200
19,1220008502,1220011500
20,1220008402,1220011400
21,1210010603,1210010600
22,1210010703,1210010700
23,1220007002,1220007000
24,1220007102,1220007100
25,1220006502,1220006500
26,1220006402,1220006400
27,1220008401,1220008400
28,1220008501,1220008500
29,1220008200,1220008200
30,1220008300,1220008300
31,1220000402,1220000400
32,1220000300,1220000300
33,1220000201,1220000200
34,1220000102,1220000100
35,1210002802,1210002800
36,1210002702,1210002700
37,1220041100,1210007800
38,1220041200,1210007900
39,1220008600,1220008600
40,1220008700,1220008700
41,1220007500,1220007500
42,1220007400,1220007400
43,1220011001,1220011000
44,1220011101,1220011100
45,1220012100,1220012100
46,1220012000,1220012000
47,1220007701,1220007700
48,1220009801,1220009800
49,1220009802,1220009800
50,1220011701,1220009900
51,1210011402,1210011400
52,1210011502,1210011500
53,1220007802,1220007800
54,1220007900,1220007900
55,1220007601,1220007600
56,1220038403,1210007100
57,1220044600,1220043800
58,1220044700,1220043900
59,1220038101,1210007000
60,1220038001,1210007100
61,1220038002,1210007100
62,1220038102,1210007000
63,1220038503,1210007000
64,1220038401,1210007100
65,1220038501,1210007000
66,1220038404,1210007100
67,1220038504,1210007000
68,1220005901,1220005900
69,1220005801,1220005800
70,1220006701,1220006700
71,1220006601,1220006600
72,1220005902,1220005900
73,1220005802,1220005800
74,1220006101,1220006100
75,1220006001,1220006000
76,1220006104,1220006100
77,1220006003,1220006000
78,1220006106,1220006100
79,1220006005,1220006000
80,1220006004,1220006000
81,1220006105,1220006100
82,1220006604,1220006600
83,1220006706,1220006700
84,1220006704,1220006700
85,1220038402,1210007100
86,1220006702,1220006700
87,1220006602,1220006600
88,1220037900,1210007000
89,1220037800,1210007100
90,1220043900,1220043900
91,1220043800,1220043800
92,1220006705,1220006700
93,1220038502,1210007000
94,1230001503,1230001500
95,1230001603,1230001600
96,1220008001,1220008000
97,1220010101,1220010100
98,1220010001,1220010000
99,1220010002,1220010000
100,1220010102,1220010100
101,1220010003,1220010000
102,1220010103,1220010100
103,1220010901,1220010900
104,1220010004,1220010000
105,1220010104,1220010100
106,1230001604,1230001600
107,1230001504,1230001500
108,1220000705,1220000700
109,1220000804,1220000800
110,1220000704,1220000700
111,1220000803,1220000800
112,1220000703,1220000700
113,1220000802,1220000800
114,1220001001,1220001000
115,1220000901,1220000900
116,1220011002,1220014000
117,1220011102,1220014100
118,1220009402,1220009400
119,1220009502,1220009500
120,1220000600,1220000600
121,1220000502,1220000500
122,1220012901,1220012900
123,1220012801,1220012800
124,1220008005,1220008000
125,1220008105,1220008100
126,1220008004,1220008000
127,1220008104,1220008100
